Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
231-MLH1KO-3_S3_L001_R1_001 - polya	(1, 1.620628946970898e-05)	(2, 4.375698156821424e-05)	(3, 6.158389998489411e-05)	(4, 8.265207629551578e-05)	(5, 0.00017502792627285696)	(6, 0.0002949544683487034)	(7, 0.0003225051604472087)	(8, 0.0003759859156972483)	(9, 0.0004262254130533461)	(10, 0.0016880471111648872)	(15, 0.008901790679921747)	(20, 0.017606512879891834)	(25, 0.027072282433359456)	(30, 0.03657532645260741)	(35, 0.04884608058749225)	(40, 0.05860680460930858)	(45, 0.06480571033147227)	(50, 0.06983063244445023)	(55, 0.07466918222852655)	(60, 0.07778921707723492)	(65, 0.08081071768596745)	(70, 0.08347762468110277)	(75, 0.08551702414797094)	(80, 0.08744330371434055)	(85, 0.08910250363024935)	(90, 0.09035265679994271)	(95, 0.09163003653594518)	(100, 0.09300238512824013)	(105, 0.09414492853585461)	(110, 0.09540772261133433)	(115, 0.09652433595579726)	(120, 0.09747240388977527)	(125, 0.09865157351159128)	(130, 0.09965701171029202)	(135, 0.10045792653588506)	(140, 0.10095221836471117)
231-MLH1KO-3_S3_L001_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 2.917132104547616e-05)	(4, 8.589333418945759e-05)	(5, 0.00017502792627285696)	(6, 0.00026578314730322725)	(7, 0.00034033207886388856)	(8, 0.00036302088412148114)	(9, 0.00039381283411392816)	(10, 0.0005711096409125444)	(15, 0.000873843128206708)	(20, 0.0012508014212721389)	(25, 0.0017178666837891518)	(30, 0.0021551123736819)	(35, 0.002537904930956426)	(40, 0.002936579651911267)	(45, 0.004916988225109704)	(50, 0.006399539585798681)	(55, 0.006880218131470249)	(60, 0.007462023923432802)	(65, 0.008824000490467145)	(70, 0.01395977362341792)	(75, 0.06157612096594865)	(80, 0.3560823233479199)	(85, 2.337402014140344)	(90, 6.726388355949561)	(95, 12.01622949687623)	(100, 18.227868500676262)	(105, 24.564639182604026)	(110, 28.937783876456603)	(115, 29.632062937967884)	(120, 29.803204596025903)	(125, 30.02876178811058)	(130, 30.305786266041576)	(135, 31.20802573053132)	(140, 33.098566863236535)
231-MLH1KO-3_S3_L001_R2_001 - nextera_transposase_sequence	(1, 0.004229841551594044)	(2, 0.004309252369995617)	(3, 0.00431411425683653)	(4, 0.0043692156410335406)	(5, 0.004370836269980511)	(6, 0.004377318785768395)	(7, 0.0043854219305032496)	(8, 0.004396766333132046)	(9, 0.004414593251548726)	(10, 0.004461267365221487)	(15, 0.00459480719045189)	(20, 0.005478374092340423)	(25, 0.019536357829944777)	(30, 0.10807650321559523)	(35, 0.6771305383718017)	(40, 3.43609930559453)	(45, 8.53148117917416)	(50, 14.17681441038626)	(55, 20.630002324468098)	(60, 26.870924148585164)	(65, 33.40045114096248)	(70, 39.51162346683033)	(75, 45.56133343988429)	(80, 51.081670153422834)	(85, 56.26539056614712)	(90, 60.929838775456666)	(95, 65.18934367104447)	(100, 68.95819440154055)	(105, 72.2972005304189)	(110, 75.23469032754677)	(115, 77.78120630835004)	(120, 80.0093111615519)	(125, 81.91029822019775)	(130, 83.56528839035389)	(135, 84.96323449274045)	(140, 85.73446069252813)
231-MLH1KO-3_S3_L001_R2_001 - polyg	(1, 0.22711331999955464)	(2, 0.22798845963091893)	(3, 0.2292379645490335)	(4, 0.23014713738828418)	(5, 0.2313982629353457)	(6, 0.2325294619403314)	(7, 0.2333089844638244)	(8, 0.23391185843209758)	(9, 0.23470434598716633)	(10, 0.23668378218299657)	(15, 0.23813392096474617)	(20, 0.23878508967563902)	(25, 0.23930887695130004)	(30, 0.23977075620118674)	(35, 0.24018498896003249)	(40, 0.24060019409624642)	(45, 0.2410254471319316)	(50, 0.24143838338761983)	(55, 0.2418665535554095)	(60, 0.24232130203792956)	(65, 0.2427692438788723)	(70, 0.2431711598577211)	(75, 0.24677900401946773)	(80, 0.24843431442590375)	(85, 0.24884109229159349)	(90, 0.24934802502620595)	(95, 0.2504860306727689)	(100, 0.2621172846251791)	(105, 0.3466003475049826)	(110, 0.8216967988316043)	(115, 3.2873732147536416)	(120, 8.221402353240745)	(125, 13.834760251203324)	(130, 20.263158376660712)	(135, 26.600592544079365)	(140, 30.424986118097596)
231-MLH1R4-1_S4_L001_R1_001 - nextera_transposase_sequence	(1, 0.0025944409052548047)	(2, 0.0026489650573792486)	(3, 0.0026489650573792486)	(4, 0.002671683454097767)	(5, 0.0026731980138790016)	(6, 0.002674712573660236)	(7, 0.002694401850816286)	(8, 0.0026974309703787546)	(9, 0.002723178486659742)	(10, 0.0027622541290155942)	(15, 0.002837679206121075)	(20, 0.003626159028231788)	(25, 0.02628367044354459)	(30, 0.17543024781257432)	(35, 0.9696208690344102)	(40, 4.722963237423633)	(45, 11.902665725175918)	(50, 19.69112491898241)	(55, 28.50195770482763)	(60, 36.67070892575212)	(65, 44.889181932646736)	(70, 52.13843603467287)	(75, 58.90485393085665)	(80, 64.65273249454387)	(85, 69.74441743109274)	(90, 74.01739889927248)	(95, 77.71411672403262)	(100, 80.77073099894638)	(105, 83.33778502841298)	(110, 85.47317073968647)	(115, 87.22763406406096)	(120, 88.68479081793892)	(125, 89.85901811149964)	(130, 90.83992881205533)	(135, 91.62322369021098)	(140, 92.05135399675514)
231-MLH1R4-1_S4_L001_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 3.786399453086405e-05)	(4, 0.00010450462490518477)	(5, 0.00019689277156049304)	(6, 0.0002574751628098755)	(7, 0.0003301740323091345)	(8, 0.0003544069888088875)	(9, 0.0004013583420271589)	(10, 0.0005373658103820226)	(15, 0.0008184681057791573)	(20, 0.0011677255913318473)	(25, 0.0015539383355466607)	(30, 0.001893502638499449)	(35, 0.002223979582764831)	(40, 0.0025547594389864594)	(45, 0.0037561082574617136)	(50, 0.004719065366370648)	(55, 0.0051025519029792386)	(60, 0.005514209251518793)	(65, 0.0064205218246095545)	(70, 0.012888903738306123)	(75, 0.09191802729921308)	(80, 0.512629111299031)	(85, 3.191822358616071)	(90, 9.384997855231893)	(95, 16.73697485403657)	(100, 25.275126296868315)	(105, 33.69408491403646)	(110, 39.35483115642122)	(115, 40.27344225784756)	(120, 40.518295079440634)	(125, 40.83411471996713)	(130, 41.22050133564484)	(135, 42.385348960480385)	(140, 44.7595277396622)
231-MLH1R4-1_S4_L001_R2_001 - nextera_transposase_sequence	(1, 0.002549004111817768)	(2, 0.002602013704160977)	(3, 0.002602013704160977)	(4, 0.0026247321008794956)	(5, 0.0026277612204419648)	(6, 0.0026277612204419648)	(7, 0.0026429068182543107)	(8, 0.00264593593781678)	(9, 0.002671683454097767)	(10, 0.002713788216016088)	(15, 0.002801329771371446)	(20, 0.0035628504293761833)	(25, 0.025984696342728885)	(30, 0.17377725726733492)	(35, 0.9626987250102557)	(40, 4.7094585136782765)	(45, 11.889304581697823)	(50, 19.66707128636076)	(55, 28.459090513515427)	(60, 36.60669151291891)	(65, 44.80386738599371)	(70, 52.03839209123538)	(75, 58.7978124183179)	(80, 64.54449841763338)	(85, 69.63047709875048)	(90, 73.88956823626454)	(95, 77.5645699999694)	(100, 80.60429511585065)	(105, 83.15507610920376)	(110, 85.27595112612518)	(115, 87.01969894004746)	(120, 88.4685961936144)	(125, 89.63962382818131)	(130, 90.6170570994793)	(135, 91.39988458448644)	(140, 91.82547255098183)
231-MLH1R4-1_S4_L001_R2_001 - polyg	(1, 0.23602596718803165)	(2, 0.23700891648605288)	(3, 0.23834324365332055)	(4, 0.23932013471221683)	(5, 0.24059236492845387)	(6, 0.2416677023731304)	(7, 0.24244467154090374)	(8, 0.24308835944792842)	(9, 0.24379414430598373)	(10, 0.24578912244982587)	(15, 0.2472673327963108)	(20, 0.24788860521857323)	(25, 0.24840719048766796)	(30, 0.24886761666116328)	(35, 0.2492959341672964)	(40, 0.24971970799408583)	(45, 0.25011955177633177)	(50, 0.25053666154008375)	(55, 0.25093105290711726)	(60, 0.25129787928613223)	(65, 0.2516743988477471)	(70, 0.25203032039633727)	(75, 0.25432730176055757)	(80, 0.2553623519150533)	(85, 0.255688285179975)	(90, 0.25607298336440854)	(95, 0.25704018124070493)	(100, 0.2756023230075595)	(105, 0.41764319170694914)	(110, 1.0953060066562479)	(115, 4.469020633847509)	(120, 11.457223697420277)	(125, 19.25060157557231)	(130, 28.075139007054002)	(135, 36.44340076466489)	(140, 41.356998006809036)
231-MSH2R4-1_S22_L002_R1_001 - nextera_transposase_sequence	(1, 0.0012869111750166036)	(2, 0.001317058435339101)	(3, 0.001318942639109257)	(4, 0.0013321320655003495)	(5, 0.0013377846768108177)	(6, 0.0013377846768108177)	(7, 0.001343437288121286)	(8, 0.0013472056956615982)	(9, 0.0013585109182825347)	(10, 0.0013732077076897523)	(15, 0.001430487502302497)	(20, 0.002185676373381054)	(25, 0.016105796986540154)	(30, 0.11572967976675667)	(35, 0.6857962841089871)	(40, 3.487056725989441)	(45, 9.488166974218966)	(50, 16.427926115697346)	(55, 24.545200314978576)	(60, 32.340453161558266)	(65, 40.241455437374945)	(70, 47.452227897611465)	(75, 54.21122745776294)	(80, 60.18519575068336)	(85, 65.5272597557288)	(90, 70.16749930887406)	(95, 74.20664658155694)	(100, 77.65961504661821)	(105, 80.60267727267383)	(110, 83.10220697541281)	(115, 85.19617764393735)	(120, 86.97234418463871)	(125, 88.43662375103669)	(130, 89.67500160534162)	(135, 90.69524707337932)	(140, 91.24773028813847)
231-MSH2R4-1_S22_L002_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 1.318942639109257e-05)	(4, 5.464190933452636e-05)	(5, 0.00012435744883030136)	(6, 0.00017711515439467165)	(7, 0.00022987285995904194)	(8, 0.0002449464901202906)	(9, 0.0002807463617532561)	(10, 0.00036741973518043586)	(15, 0.0005758126721596985)	(20, 0.0007721467050099621)	(25, 0.0010449794109285626)	(30, 0.0012763596339037298)	(35, 0.001501333564060366)	(40, 0.0017319601055274703)	(45, 0.0021623122466311187)	(50, 0.002525586733517211)	(55, 0.0027558364342302843)	(60, 0.003024523891854542)	(65, 0.0036448037729899232)	(70, 0.006372753991421898)	(75, 0.036724262002604126)	(80, 0.28228537939271964)	(85, 2.044269895156873)	(90, 6.8448804374729235)	(95, 13.11647228215665)	(100, 20.72832087899764)	(105, 28.5256184635087)	(110, 33.709480951604306)	(115, 34.680933078810064)	(120, 35.021748610437406)	(125, 35.41682921064525)	(130, 35.93398925732525)	(135, 37.57281090944939)	(140, 40.305754644713026)
231-MSH2R4-1_S22_L002_R2_001 - nextera_transposase_sequence	(1, 0.0012774901561658232)	(2, 0.0013095216202584766)	(3, 0.0013095216202584766)	(4, 0.001318942639109257)	(5, 0.001318942639109257)	(6, 0.0013208268428794132)	(7, 0.0013264794541898812)	(8, 0.0013302478617301934)	(9, 0.001343437288121286)	(10, 0.001361148803560753)	(15, 0.0014316180245645908)	(20, 0.002186806895643148)	(25, 0.016056430847762062)	(30, 0.11556010142744262)	(35, 0.6842651801253583)	(40, 3.479155129058914)	(45, 9.469656556380954)	(50, 16.395523840302726)	(55, 24.492493859756753)	(60, 32.27186362223553)	(65, 40.1590848316773)	(70, 47.362056311464606)	(75, 54.12026752075866)	(80, 60.09830870854866)	(85, 65.43823941808553)	(90, 70.07032225310977)	(95, 74.10010277201044)	(100, 77.54826538693557)	(105, 80.48036267757114)	(110, 82.96658349539997)	(115, 85.04960844738292)	(120, 86.81699233747084)	(125, 88.2804974961193)	(130, 89.51639950667024)	(135, 90.53283624520695)	(140, 91.07962728037646)
231-MSH2R4-1_S22_L002_R2_001 - polyg	(1, 0.1653539544613574)	(2, 0.16550092235542957)	(3, 0.16598327852058953)	(4, 0.16651650818754368)	(5, 0.16720801097119098)	(6, 0.16797865031318482)	(7, 0.1684685432934254)	(8, 0.16884915245499693)	(9, 0.16935788747293906)	(10, 0.17074466144777395)	(15, 0.17174705785349698)	(20, 0.1721521616640805)	(25, 0.17246946157897483)	(30, 0.17274380164790953)	(35, 0.17298422604898145)	(40, 0.173232187265134)	(45, 0.17348165584430267)	(50, 0.1737345159902576)	(55, 0.17398134668414805)	(60, 0.17421272690712325)	(65, 0.17444335344859035)	(70, 0.17469847463906946)	(75, 0.17586366625053398)	(80, 0.17651861548104023)	(85, 0.1767910713462048)	(90, 0.17707520927474435)	(95, 0.17793101462714925)	(100, 0.18864497410501077)	(105, 0.2794673642340742)	(110, 0.741638431245103)	(115, 3.1700695889210024)	(120, 8.85430198390076)	(125, 15.683834451143502)	(130, 23.730604383230766)	(135, 31.656262595902206)	(140, 36.30593673416538)
231-MSH2R4-2_S11_L001_R1_001 - nextera_transposase_sequence	(1, 0.0014023633994170196)	(2, 0.0014212504485674174)	(3, 0.0014212504485674174)	(4, 0.001429120052380083)	(5, 0.001429120052380083)	(6, 0.0014306939731426162)	(7, 0.0014338418146676824)	(8, 0.0014354157354302154)	(9, 0.0014558767053431461)	(10, 0.001474448970341037)	(15, 0.001526073571352124)	(20, 0.0020920554775590377)	(25, 0.015589999937043169)	(30, 0.11479170732628637)	(35, 0.6690025749343674)	(40, 3.4085199478717443)	(45, 9.336376141879512)	(50, 16.143567700627678)	(55, 23.992677491044393)	(60, 31.45042590295834)	(65, 38.94520835563054)	(70, 45.74005785732723)	(75, 52.118197357072255)	(80, 57.73843577458937)	(85, 62.80024301336573)	(90, 67.21779380378874)	(95, 71.10495847997028)	(100, 74.46075082316057)	(105, 77.36965354856174)	(110, 79.88833378452395)	(115, 82.04103054035848)	(120, 83.9123061716581)	(125, 85.49914315753686)	(130, 86.88434515452755)	(135, 88.05914038743633)	(140, 88.7076725489332)
231-MSH2R4-2_S11_L001_R1_001 - polya	(1, 9.443524575198786e-06)	(2, 2.0460969912930702e-05)	(3, 2.6756652963063226e-05)	(4, 5.980898897625898e-05)	(5, 0.00020460969912930704)	(6, 0.0003053406279314274)	(7, 0.0003525582508074214)	(8, 0.00043440213045914416)	(9, 0.0005130981685858007)	(10, 0.0022573171576250163)	(15, 0.01133632168422113)	(20, 0.020836192622718602)	(25, 0.030364708919094173)	(30, 0.039568997538387926)	(35, 0.051764679958952155)	(40, 0.06141029596006018)	(45, 0.06765561354579165)	(50, 0.07284451551571088)	(55, 0.07819836438154357)	(60, 0.08159740366031012)	(65, 0.08496811236535108)	(70, 0.08797272710102683)	(75, 0.0904044346791405)	(80, 0.09263530996795498)	(85, 0.09456839944849817)	(90, 0.09625029117534106)	(95, 0.09786985563998767)	(100, 0.09948501312649916)	(105, 0.1009452968099774)	(110, 0.10234703064108941)	(115, 0.10375600450770908)	(120, 0.10501325241282053)	(125, 0.10648549789409403)	(130, 0.10769962037031207)	(135, 0.1086889869616404)	(140, 0.10933870145241407)
231-MSH2R4-2_S11_L001_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 2.0460969912930702e-05)	(4, 5.666114745119272e-05)	(5, 0.00010073092880212039)	(6, 0.00014952247244064744)	(7, 0.000192018333029042)	(8, 0.00021090538217943954)	(9, 0.00023451419361743652)	(10, 0.0003497251934348617)	(15, 0.000539854821548864)	(20, 0.0007942004167742179)	(25, 0.0010819131321652743)	(30, 0.0013444431153558007)	(35, 0.0015836790712608364)	(40, 0.0018440055653838165)	(45, 0.0023168113624487687)	(50, 0.0027313820912999954)	(55, 0.0030496288694841947)	(60, 0.003372282625803487)	(65, 0.004002480499121752)	(70, 0.006582136628913554)	(75, 0.03503610574229251)	(80, 0.27475777359464615)	(85, 1.9974052342308881)	(90, 6.737690365716229)	(95, 12.911117231914076)	(100, 20.275323125932548)	(105, 27.76585378905684)	(110, 32.72025100888321)	(115, 33.66389205421842)	(120, 33.9952536845485)	(125, 34.391654757332894)	(130, 34.874000717707865)	(135, 36.41155635580682)	(140, 39.10053261478604)
231-MSH2R4-2_S11_L001_R2_001 - nextera_transposase_sequence	(1, 0.0013189455990027638)	(2, 0.0013409804896782277)	(3, 0.0013409804896782277)	(4, 0.0013488500934908934)	(5, 0.0013504240142534264)	(6, 0.0013504240142534264)	(7, 0.001356719697303559)	(8, 0.001358293618066092)	(9, 0.0013787545879790227)	(10, 0.0014001599103494733)	(15, 0.0014785411643236232)	(20, 0.0020495596169706433)	(25, 0.015425997393587219)	(30, 0.1138722228168145)	(35, 0.6646988460012969)	(40, 3.40177821567751)	(45, 9.330525878405178)	(50, 16.128644728309798)	(55, 23.959881074547184)	(60, 31.397271765750226)	(65, 38.870877114562546)	(70, 45.651385365055184)	(75, 52.022073294342064)	(80, 57.639971291685285)	(85, 62.6954035218051)	(90, 67.09864674292838)	(95, 70.96530826812054)	(100, 74.30185565257901)	(105, 77.19048816726372)	(110, 79.69092666158815)	(115, 81.82902813540755)	(120, 83.68941884549766)	(125, 85.2736711387002)	(130, 86.65583295034594)	(135, 87.83090802636632)	(140, 88.47540591416465)
231-MSH2R4-2_S11_L001_R2_001 - polya	(1, 2.6756652963063226e-05)	(2, 5.036546440106019e-05)	(3, 5.980898897625898e-05)	(4, 0.00010387877032718665)	(5, 0.00025654908429290036)	(6, 0.0004060715567335478)	(7, 0.0004375499719842104)	(8, 0.0004847675948602044)	(9, 0.0005697593160369934)	(10, 0.0022478736330498175)	(15, 0.01069069938743004)	(20, 0.019581777774979693)	(25, 0.02850401979362751)	(30, 0.0374678133204062)	(35, 0.04863918810871386)	(40, 0.05789856395469626)	(45, 0.06405479762526836)	(50, 0.06917192880841608)	(55, 0.07417447856005137)	(60, 0.0774161257625646)	(65, 0.08057309602805356)	(70, 0.08338884027222535)	(75, 0.08556116570867356)	(80, 0.08762016885021942)	(85, 0.0893968106069668)	(90, 0.09078060174138594)	(95, 0.09214456147419715)	(100, 0.0936155478188606)	(105, 0.09494645521565862)	(110, 0.09635448472982075)	(115, 0.09771340791619187)	(120, 0.09886866575589119)	(125, 0.10027952832742588)	(130, 0.10150246475991413)	(135, 0.10239235955905035)	(140, 0.10300996606626836)
231-MSH2R4-2_S11_L001_R2_001 - polyg	(1, 0.20031604328911665)	(2, 0.2011502212932592)	(3, 0.20217799155119334)	(4, 0.2028878298150958)	(5, 0.20377552112516448)	(6, 0.2047025604542965)	(7, 0.205297502502534)	(8, 0.2057287567914681)	(9, 0.20632055099818056)	(10, 0.20791619186723667)	(15, 0.2091633666794679)	(20, 0.2096682804600885)	(25, 0.21006837111792445)	(30, 0.21035923167484055)	(35, 0.21066646100768702)	(40, 0.21095826591706066)	(45, 0.21125070039473934)	(50, 0.21155163404453567)	(55, 0.21187806521068503)	(60, 0.21217207360912624)	(65, 0.21245002801578955)	(70, 0.21272577893338535)	(75, 0.21399876604612217)	(80, 0.21465162837842092)	(85, 0.21493650803643943)	(90, 0.2152440521534384)	(95, 0.2159538904173408)	(100, 0.22688319619237088)	(105, 0.3189459137869163)	(110, 0.7876185949294569)	(115, 3.2010283998262397)	(120, 8.868333343826139)	(125, 15.61691681513986)	(130, 23.40366817972916)	(135, 30.99035784662457)	(140, 35.41548832465578)
231-MSH2R4-2_S23_L002_R1_001 - nextera_transposase_sequence	(1, 0.0014641822264013357)	(2, 0.0014929669359636162)	(3, 0.0014929669359636162)	(4, 0.0015159947036134406)	(5, 0.0015198326648884113)	(6, 0.0015217516455258966)	(7, 0.0015255896068008673)	(8, 0.0015255896068008673)	(9, 0.0015428604325382358)	(10, 0.0015781696762679665)	(15, 0.0016307497457350654)	(20, 0.0022463587342403716)	(25, 0.016216921571261346)	(30, 0.11725816046516091)	(35, 0.6814948859166011)	(40, 3.4663633397939018)	(45, 9.483380092494865)	(50, 16.36169714647579)	(55, 24.270722496210016)	(60, 31.769570340235266)	(65, 39.29008501084223)	(70, 46.094861353648945)	(75, 52.47442766402487)	(80, 58.08446738692406)	(85, 63.12406363339794)	(90, 67.5175237473854)	(95, 71.38255109285947)	(100, 74.71240313945232)	(105, 77.59131776400376)	(110, 80.07962196081442)	(115, 82.20363301414288)	(120, 84.05039089635586)	(125, 85.61272169023815)	(130, 86.97439811172305)	(135, 88.13464681161369)	(140, 88.77611828596649)
231-MSH2R4-2_S23_L002_R1_001 - polya	(1, 2.3027767649824412e-05)	(2, 3.646063211222199e-05)	(3, 5.94883997620464e-05)	(4, 9.211107059929765e-05)	(5, 0.00025714340542303926)	(6, 0.00034733549538485157)	(7, 0.00038187714685958816)	(8, 0.0004336896240716931)	(9, 0.0005277196753084761)	(10, 0.0022271689278655178)	(15, 0.011121260386482701)	(20, 0.020650534436107537)	(25, 0.03031797509163132)	(30, 0.039744007982959455)	(35, 0.05200936462551094)	(40, 0.06175011034138665)	(45, 0.06819635009882749)	(50, 0.07341405845215022)	(55, 0.07873270518700468)	(60, 0.08202107040739959)	(65, 0.0853389879296118)	(70, 0.08818483621500259)	(75, 0.09046266623169771)	(80, 0.09263725509009615)	(85, 0.09455354915468903)	(90, 0.09614208132639941)	(95, 0.09772370516781485)	(100, 0.09937671508894474)	(105, 0.1007499376331293)	(110, 0.10215539905202357)	(115, 0.10361075396749246)	(120, 0.10489186544107769)	(125, 0.10639596246473873)	(130, 0.10764368367523172)	(135, 0.10865268369442152)	(140, 0.10926675749841684)
231-MSH2R4-2_S23_L002_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 3.0703690199765885e-05)	(4, 8.251616741187082e-05)	(5, 0.00014008558653643183)	(6, 0.0001899790831110514)	(7, 0.00023603461841070024)	(8, 0.0002494674828730978)	(9, 0.00029552301817274663)	(10, 0.0003895530694095296)	(15, 0.0005868242789430255)	(20, 0.0008662278597608951)	(25, 0.001162902266316133)	(30, 0.001407380399531769)	(35, 0.001659534455297346)	(40, 0.0019493005315576364)	(45, 0.002388363301414289)	(50, 0.002797873769453666)	(55, 0.0031083648365987987)	(60, 0.003433056360461323)	(65, 0.004103164399071214)	(70, 0.006934428431617125)	(75, 0.03831321601965036)	(80, 0.28334094528986203)	(85, 2.0304024102396805)	(90, 6.84101514075723)	(95, 13.07939744007983)	(100, 20.516716240333135)	(105, 28.05203968451958)	(110, 33.02891097848823)	(115, 33.97848323770413)	(120, 34.3195659265798)	(125, 34.713607491700415)	(130, 35.225328241638046)	(135, 36.79994933891116)	(140, 39.40159083494848)
231-MSH2R4-2_S23_L002_R2_001 - nextera_transposase_sequence	(1, 0.0014181266911016868)	(2, 0.0014449924200264819)	(3, 0.0014449924200264819)	(4, 0.001471858148951277)	(5, 0.001475696110226248)	(6, 0.001475696110226248)	(7, 0.0014795340715012186)	(8, 0.001481453052138704)	(9, 0.0015063998004260137)	(10, 0.001544779413175721)	(15, 0.0016238414154401183)	(20, 0.00224789391875036)	(25, 0.016218456755771334)	(30, 0.11709888507224961)	(35, 0.6795759052791157)	(40, 3.456830995375257)	(45, 9.460728061253864)	(50, 16.323365508242023)	(55, 24.211766037880675)	(60, 31.69345397324941)	(65, 39.19950758956842)	(70, 45.99547657884132)	(75, 52.37301184011053)	(80, 57.98755425917752)	(85, 63.02515668476906)	(90, 67.41132275335342)	(95, 71.26720538849763)	(100, 74.59294122162308)	(105, 77.4612032008597)	(110, 79.93579244305425)	(115, 82.0484151138915)	(120, 83.8853777513385)	(125, 85.44681621922435)	(130, 86.80541881752414)	(135, 87.96085317879142)	(140, 88.5951468979678)
231-MSH2R4-2_S23_L002_R2_001 - polya	(1, 1.918980637485368e-05)	(2, 3.2622670837251255e-05)	(3, 5.37314578495903e-05)	(4, 8.443514804935618e-05)	(5, 0.0002705762698854369)	(6, 0.000391472050047015)	(7, 0.00042793268215923704)	(8, 0.0004970159851087103)	(9, 0.0005699372493331542)	(10, 0.0021208574005488283)	(15, 0.010509105563124867)	(20, 0.019370190554777306)	(25, 0.028084665425725852)	(30, 0.037019823069985226)	(35, 0.04820364222524994)	(40, 0.057248181765845986)	(45, 0.06328222448235496)	(50, 0.06829920746099671)	(55, 0.07318569975628945)	(60, 0.0763144057876456)	(65, 0.07946383680988658)	(70, 0.0821653777513385)	(75, 0.08432730133752951)	(80, 0.08636065322100898)	(85, 0.08810884458175819)	(90, 0.08950394350521004)	(95, 0.09079580127036518)	(100, 0.09221085759244688)	(105, 0.09348851490088464)	(110, 0.09479265414211971)	(115, 0.09613478919997698)	(120, 0.09730805396173552)	(125, 0.09860490107654815)	(130, 0.09973211030300705)	(135, 0.10058912705570802)	(140, 0.10111876571165397)
231-MSH2R4-2_S23_L002_R2_001 - polyg	(1, 0.19228377885667133)	(2, 0.1924468922108576)	(3, 0.19299380169254093)	(4, 0.19361747039972366)	(5, 0.1944004144998177)	(6, 0.19531384928326073)	(7, 0.1957763236168947)	(8, 0.19624455489244114)	(9, 0.19692963098002342)	(10, 0.198489762238299)	(15, 0.19964115062079024)	(20, 0.20015620502389134)	(25, 0.20055573679261576)	(30, 0.20082823204313865)	(35, 0.2011298957993514)	(40, 0.201440770662624)	(45, 0.20174588858398418)	(50, 0.20202605975705704)	(55, 0.20231313926042488)	(60, 0.20261173264761762)	(65, 0.20291608297672276)	(70, 0.20324384486960528)	(75, 0.2045790715971676)	(80, 0.20528717545239966)	(85, 0.20558116328606246)	(90, 0.20588321083840264)	(95, 0.2066469651321218)	(100, 0.21819500681238124)	(105, 0.3123547811402583)	(110, 0.7901521751645525)	(115, 3.2529254859818466)	(120, 9.00787396135173)	(125, 15.815077430868723)	(130, 23.69543781543244)	(135, 31.33164399071213)	(140, 35.77899291896145)
231-MSH2R4-3_S12_L001_R1_001 - nextera_transposase_sequence	(1, 0.00047238553383231155)	(2, 0.00048281676013144776)	(3, 0.00048281676013144776)	(4, 0.00048579711050262956)	(5, 0.0004872872856882204)	(6, 0.0004872872856882204)	(7, 0.0004902676360594022)	(8, 0.0004902676360594022)	(9, 0.0005081497382864929)	(10, 0.0005263298755507017)	(15, 0.0005910034786053462)	(20, 0.00174499514232693)	(25, 0.02335551568376599)	(30, 0.16910090757033433)	(35, 0.8535181039297053)	(40, 3.995913105143006)	(45, 10.241132697656388)	(50, 17.11162353930793)	(55, 24.722847085792544)	(60, 31.733943109045477)	(65, 38.71204486547921)	(70, 44.96433265693288)	(75, 50.86285852199299)	(80, 56.064478926568405)	(85, 60.80420790900346)	(90, 64.96841067034578)	(95, 68.69669129250703)	(100, 71.9504140034504)	(105, 74.81179445048032)	(110, 77.3221048235719)	(115, 79.4992588166662)	(120, 81.41462509189166)	(125, 83.0514159316775)	(130, 84.49004804384406)	(135, 85.72312390073502)	(140, 86.40878867175977)
231-MSH2R4-3_S12_L001_R1_001 - polya	(1, 2.384280296945421e-05)	(2, 4.470525556772664e-05)	(3, 5.0665956310090195e-05)	(4, 7.599893446513529e-05)	(5, 0.0002279968033954059)	(6, 0.000399366949738358)	(7, 0.00045003290604844824)	(8, 0.0005409335923694924)	(9, 0.0006675984831447179)	(10, 0.0033311376098698713)	(15, 0.01782607164011244)	(20, 0.03366216333738681)	(25, 0.04912362499300363)	(30, 0.06386890845442547)	(35, 0.08261918674464137)	(40, 0.0970217299133773)	(45, 0.10618511516461279)	(50, 0.11334779121167396)	(55, 0.12073220532635105)	(60, 0.125425363055851)	(65, 0.1301331245021697)	(70, 0.13419653419823893)	(75, 0.13749309974380314)	(80, 0.14059117395464654)	(85, 0.14325650129159445)	(90, 0.1455728296000769)	(95, 0.14786889152603536)	(100, 0.15026211287409433)	(105, 0.1523650480960002)	(110, 0.1544816929296135)	(115, 0.15656913032958922)	(120, 0.15844317464298832)	(125, 0.16055952144156446)	(130, 0.16239154281472992)	(135, 0.16380571906585567)	(140, 0.16479102289856837)
