"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099177","BP","GO:0099177","regulation of trans-synaptic signaling","75/1665","494/18888",2.17991227442598e-06,0.000315998983415289,0.000267142629563187,"FYN/NCDN/APBA2/RNF19A/SLC12A2/SNCAIP/SYT1/PFN2/PTGS2/EDN1/RIMS1/MEF2C/GSK3B/CHMP2B/SYNGR1/CHRDL1/ZDHHC2/CALB1/PLAT/GRIN2D/PTN/CPEB3/DKK1/GIT1/MPP2/USP46/ASIC1/DBN1/BCHE/WNT5A/RGS4/PCDH17/GIPC1/IL1B/AKAP12/SYT11/EPHB2/LARGE1/SLC38A2/EPHA7/DYSF/UNC13C/PPFIA2/MCTP2/CDH11/ARRB2/CACNG8/IGSF11/TMEM108/PLK2/TMEM25/GPR158/SORCS3/SHANK1/SHANK2/DISC1/UCN/GPER1/MAP1A/PRRT2/KISS1/PRKCE/ATP2A2/NRXN1/PLCB1/NOG/SYN3/BCR/RELN/ARC/PPP3R1/CALB2/PLCL2/NFATC4/CLSTN3",75
"GO:0002062","BP","GO:0002062","chondrocyte differentiation","27/1665","116/18888",2.22191019036646e-06,0.000315998983415289,0.000267142629563187,"SNAI2/COL11A1/RARB/MEF2C/SMAD7/FGF9/TGFB1/SOX6/WNT5B/EFEMP1/MSX2/SOX9/BMP2/SOX5/MBOAT2/OSR1/ADAMTS12/NPR2/TGFBR2/ZNF219/SHOX2/CHST11/MEX3C/PTPN11/EXT1/COL27A1/ARID5A",27
"GO:0048738","BP","GO:0048738","cardiac muscle tissue development","45/1665","248/18888",2.41581453538646e-06,0.00033539558466282,0.000283540337574306,"DSG2/CTDP1/COL11A1/RARB/EDN1/MEF2C/KCNK2/NOX4/FKBP1A/SLC9A1/DSP/SMAD7/FGF9/PPP1R13L/TGFB1/ENG/DKK1/SOX6/WNT5A/RGS4/MSX2/OBSL1/BMP2/DLL4/KDM6B/LARGE1/FHOD3/HCN4/TPM1/GATA6/ARRB2/SMAD4/MEIS1/NOTCH1/TENM4/PDLIM5/ADAMTS9/TBX20/SHOX2/HEG1/NDUFV2/FES/NOG/SCN5A/RYR2",45
"GO:0050803","BP","GO:0050803","regulation of synapse structure or activity","45/1665","249/18888",2.70166125957814e-06,0.000361037525056831,0.000305217797767132,"FYN/CTNNA2/ROCK1/GPC4/MEF2C/CHMP2B/IGSF9/LZTS3/ICAM5/DKK1/CNTNAP1/CAPRIN2/NEDD9/DBN1/WNT5A/NRP2/FLRT3/SIX1/PPT1/EPHB2/LRP4/EPHA7/AMIGO2/PPFIA2/GPR158/DLG5/SHANK2/DISC1/PDLIM5/EFNA1/IL1RAPL1/FRMPD4/ZNF804A/AMIGO3/SLITRK1/NRXN1/ROBO2/RELN/ARC/DCTN1/VSTM5/SRCIN1/NFATC4/ADGRL1/CLSTN3",45
"GO:0035329","BP","GO:0035329","hippo signaling","15/1665","44/18888",2.77412521429883e-06,0.000361037525056831,0.000305217797767132,"WWC1/AMOTL2/MOB1A/MOB3B/CIT/AMOT/FRMD6/WTIP/LATS2/DLG5/SCHIP1/SHANK2/DCHS1/MOB1B/TEAD4",15
"GO:0072073","BP","GO:0072073","kidney epithelium development","32/1665","152/18888",2.78626112631751e-06,0.000361037525056831,0.000305217797767132,"CRLF1/RARB/EDN1/ARG2/MEF2C/JAG1/SMAD7/CALB1/LZTS2/FGF1/SDC1/EPCAM/SOX9/BMP2/SIX1/PODXL/EPHA7/MYC/SMAD4/OSR1/SLIT2/KLHL3/NOTCH1/BMPER/DCHS1/BCL2/SMAD2/MAGED1/EXT1/NOG/ROBO2/PBX1",32
"GO:0050807","BP","GO:0050807","regulation of synapse organization","44/1665","243/18888",3.29637288340807e-06,0.00041785109311201,0.000353247464828375,"FYN/CTNNA2/ROCK1/GPC4/MEF2C/CHMP2B/IGSF9/LZTS3/ICAM5/DKK1/CNTNAP1/CAPRIN2/NEDD9/DBN1/WNT5A/NRP2/FLRT3/SIX1/EPHB2/LRP4/EPHA7/AMIGO2/PPFIA2/GPR158/DLG5/SHANK2/DISC1/PDLIM5/EFNA1/IL1RAPL1/FRMPD4/ZNF804A/AMIGO3/SLITRK1/NRXN1/ROBO2/RELN/ARC/DCTN1/VSTM5/SRCIN1/NFATC4/ADGRL1/CLSTN3",44
"GO:0001657","BP","GO:0001657","ureteric bud development","24/1665","99/18888",3.76088735420594e-06,0.000466590088561166,0.000394450962592305,"CRLF1/RARB/ARG2/SMAD7/CALB1/LZTS2/FGF1/SDC1/EPCAM/SOX9/BMP2/SIX1/MYC/SMAD4/OSR1/SLIT2/BMPER/DCHS1/BCL2/SMAD2/MAGED1/NOG/ROBO2/PBX1",24
"GO:1902903","BP","GO:1902903","regulation of supramolecular fiber organization","62/1665","392/18888",4.35321457461626e-06,0.000519034437925115,0.000438786932421687,"TENM1/TMSB10/CAPG/ARHGEF5/CYFIP2/CTNNA2/NAV3/ROCK1/PFN2/CAMSAP3/MAP2/EDN1/PXN/SLC9A1/SH3BP1/CORO2B/TUBB4A/ARHGEF18/PIK3R2/TESK1/GIT1/CSF3/ARPC3/SEMA5A/RGS4/CAMSAP2/WASHC3/NCKAP1L/FGF13/MAP1S/CLIP1/HIP1R/WASF3/ROCK2/FHOD3/WASHC4/SPTBN5/TPM1/SMAD4/SLIT2/ARHGAP18/C9orf72/ADD3/CYRIB/NCK1/RHPN1/TMSB15B/F11R/SHANK1/BMERB1/MAP1A/CDC42EP5/PRKCE/PTGER4/SYNPO/PDE4DIP/HCLS1/FES/KIRREL1/DCTN1/TWF2/ASAP3",62
"GO:0003206","BP","GO:0003206","cardiac chamber morphogenesis","28/1665","127/18888",4.50511384947891e-06,0.000519034437925115,0.000438786932421687,"COL11A1/MEF2C/FKBP1A/DSP/JAG1/SMAD7/PPP1R13L/TGFB1/ENG/WNT5A/SOS1/NRP2/MSX2/BMP2/DLL4/TPM1/GATA6/SMAD4/SLIT2/NOTCH1/TGFBR2/TBX20/SHOX2/ROBO1/HEG1/NOG/ROBO2/RYR2",28
"GO:0072163","BP","GO:0072163","mesonephric epithelium development","24/1665","100/18888",4.53965980692521e-06,0.000519034437925115,0.000438786932421687,"CRLF1/RARB/ARG2/SMAD7/CALB1/LZTS2/FGF1/SDC1/EPCAM/SOX9/BMP2/SIX1/MYC/SMAD4/OSR1/SLIT2/BMPER/DCHS1/BCL2/SMAD2/MAGED1/NOG/ROBO2/PBX1",24
"GO:0072164","BP","GO:0072164","mesonephric tubule development","24/1665","100/18888",4.53965980692521e-06,0.000519034437925115,0.000438786932421687,"CRLF1/RARB/ARG2/SMAD7/CALB1/LZTS2/FGF1/SDC1/EPCAM/SOX9/BMP2/SIX1/MYC/SMAD4/OSR1/SLIT2/BMPER/DCHS1/BCL2/SMAD2/MAGED1/NOG/ROBO2/PBX1",24
"GO:0016049","BP","GO:0016049","cell growth","74/1665","496/18888",4.84661084204603e-06,0.000543472842691738,0.000459446934682217,"RUFY3/NEDD4L/CYFIP2/CTDP1/SYT1/MAP2/EDN1/RIMS1/SMARCA2/GSK3B/KDM2B/SLC9A1/SMAD7/SYT17/TGFB1/COBL/CAPRIN2/CYP27B1/ING4/CHPT1/SEMA5A/WNT5A/RGS4/NRP2/SGK1/BCL11A/SOCS2/CXCR4/INHBA/CDKN1A/SOX9/FLRT3/FGF13/BST2/PPT1/DCLK1/BTG1/EPHA7/DNAJB2/DDR1/TCHP/SMAD4/CRABP2/MEIS1/TMEM108/SLIT2/IGFBP3/IGFBP1/C9orf72/ADAM17/SPOCK1/IMPACT/NPR2/DISC1/PDLIM5/TGFBR2/RYK/UCN/MEAF6/DCAF13/DSCAM/BCL2/SPHK1/MEX3C/CDH4/EXT1/SHTN1/ITSN2/L1CAM/TWF2/RPS6KA1/SESN2/CLSTN3/C8orf44-SGK3",74
"GO:0010720","BP","GO:0010720","positive regulation of cell development","69/1665","454/18888",5.31052929147012e-06,0.00058425842072759,0.000493926686632663,"KDM1A/RUFY3/PRKCH/VCAN/CBFB/GLI2/PLXNA2/SMARCA2/CYLD/SMAD7/IL7/TGFB1/PTN/PTPRZ1/CAPRIN2/IL23A/NEDD9/VNN1/SEMA5A/DBN1/CXCR4/NCKAP1L/OBSL1/MYRF/IL1B/BMP2/EPHB2/TESPA1/SKIL/HLX/LEF1/BRD4/CRABP2/DUSP10/ITPKB/SLIT2/NOTCH1/TENM4/ADAM8/F11R/NLRP3/DISC1/TGFBR2/GPER1/SHOX2/IL1RAPL1/ROBO1/SOCS5/MAP6/DSCAM/BCL2/MALT1/TRIB1/FBXW8/SOX12/SLITRK1/CDH4/HCLS1/FES/GAS6/ROBO2/ZFP36L1/PPP1CC/NAP1L1/SHTN1/RELN/L1CAM/TLR9/TWF2",69
"GO:0001667","BP","GO:0001667","ameboidal-type cell migration","74/1665","498/18888",5.61028326774393e-06,0.000605806698781757,0.000512143402394636,"PRSS3/SNAI2/FUT8/HDAC9/HDAC7/ROCK1/PFN2/PTGS2/EDN1/TNS1/MEF2C/PXN/EFNB1/SH3BP1/MMP9/FERMT1/CTSH/TGFB1/PIK3CG/PTN/TESK1/PDLIM1/HDAC5/LPXN/CORO1C/ADTRP/SASH1/PPARD/SEMA5A/FGF1/AMOTL2/WNT5A/PIK3R3/NRP2/GIPC1/SOX9/AMOT/STAT5A/RHOJ/KDR/DLL4/AKAP12/CAP1/ROCK2/ETS1/GLUL/APPL2/SMAD4/DUSP10/SLIT2/PLK2/NOTCH1/ADAM17/PTPRR/ANGPT1/STC1/FSTL1/TGFBR2/ADAMTS9/BMPER/MAPRE2/EFNA1/PTK2/ROBO1/HAS2/PRKCE/PIK3CD/PTPRM/PTPN11/CCBE1/NR2F2/ZNF580/TNFSF12/EPPK1",74
"GO:0060537","BP","GO:0060537","muscle tissue development","67/1665","438/18888",5.81043962747899e-06,0.000606147722830267,0.000512431700983697,"CYP26B1/DSG2/HDAC9/CTDP1/COL11A1/RARB/EDN1/MEF2C/KCNK2/NOX4/FKBP1A/SLC9A1/DSP/SMAD7/FGF9/PPP1R13L/TGFB1/ENG/DKK1/CNTNAP1/SOX6/WNT5A/RGS4/MSX2/EGR1/OBSL1/SOX9/BMP2/SIX1/HIVEP3/DLL4/KDM6B/LARGE1/FHOD3/HLX/HCN4/LEF1/TPM1/GATA6/ARRB2/SMAD4/OSR1/MEIS1/NOTCH1/TENM4/NPR2/IGSF8/PDLIM5/POGLUT1/ADAMTS9/TBX20/SHOX2/FOXN2/BCL2/HEG1/AKIRIN1/CSRP2/NDUFV2/FES/NOG/SCN5A/MAFF/NR2F2/DNER/MYL6B/RYR2/DMD",67
"GO:0003203","BP","GO:0003203","endocardial cushion morphogenesis","14/1665","41/18888",5.8213466778417e-06,0.000606147722830267,0.000512431700983697,"SNAI2/ENG/MSX2/SOX9/BMP2/SMAD4/NOTCH1/TGFBR2/TBX20/DCHS1/ROBO1/SMAD2/NOG/ROBO2",14
"GO:0003197","BP","GO:0003197","endocardial cushion development","16/1665","52/18888",5.97115728694335e-06,0.000610838914739766,0.000516397591408231,"SNAI2/JAG1/ENG/DKK1/MSX2/SOX9/BMP2/SMAD4/NOTCH1/TGFBR2/TBX20/DCHS1/ROBO1/SMAD2/NOG/ROBO2",16
"GO:0014706","BP","GO:0014706","striated muscle tissue development","46/1665","265/18888",6.44214610789086e-06,0.000647657826812269,0.000547523960494608,"DSG2/CTDP1/COL11A1/RARB/EDN1/MEF2C/KCNK2/NOX4/FKBP1A/SLC9A1/DSP/SMAD7/FGF9/PPP1R13L/TGFB1/ENG/DKK1/SOX6/WNT5A/RGS4/MSX2/OBSL1/BMP2/DLL4/KDM6B/LARGE1/FHOD3/HCN4/LEF1/TPM1/GATA6/ARRB2/SMAD4/MEIS1/NOTCH1/TENM4/PDLIM5/ADAMTS9/TBX20/SHOX2/HEG1/NDUFV2/FES/NOG/SCN5A/RYR2",46
"GO:0045446","BP","GO:0045446","endothelial cell differentiation","27/1665","123/18888",7.22416995165469e-06,0.000713968389628788,0.000603582299439767,"TIE1/ROCK1/ICAM1/JAG1/HOXB5/CXCR4/IL1B/KDR/AFDN/KDM6B/BTG1/ROCK2/SMAD4/MSN/NOTCH1/ROBO4/XDH/F11R/STC1/FSTL1/MYD88/HPSE/HEG1/PLCB1/NR2F2/COL27A1/S1PR3",27
"GO:0060560","BP","GO:0060560","developmental growth involved in morphogenesis","43/1665","243/18888",7.7613537120002e-06,0.000754274224911219,0.000637656481285911,"RUFY3/NEDD4L/CYFIP2/SYT1/MAP2/EDN1/RIMS1/GSK3B/SYT17/COBL/LZTS2/AREG/PTK7/SEMA5A/FGF1/WNT5A/NRP2/BCL11A/CXCR4/SOX9/FLRT3/SIX1/FGF13/DCLK1/EPHA7/DDR1/CRABP2/TMEM108/SLIT2/C9orf72/NOTCH1/IMPACT/NPR2/DISC1/TGFBR2/RYK/DSCAM/CDH4/EXT1/SHTN1/ITSN2/L1CAM/TWF2",43
"GO:0022407","BP","GO:0022407","regulation of cell-cell adhesion","73/1665","496/18888",9.10712518913069e-06,0.000870551589800345,0.00073595629440378,"FYN/NEXMIF/CBFB/GLI2/SMARCA2/ARG2/CYLD/FXYD5/EFNB1/JAG1/SMAD7/CSK/ZDHHC2/IL7/EBI3/TGFB1/IL23A/SH2B3/GCNT2/ADTRP/VNN1/WNT5A/CBLB/IL1A/LOXL3/EPCAM/NCKAP1L/IL1B/BMP2/PODXL/FOXA1/AFDN/EMILIN2/PTPN22/ETS1/ADAM19/EPHA7/TESPA1/HLX/LEF1/BRD4/ILDR2/DUSP10/ITPKB/NOTCH1/ANK3/DLG5/ADAM8/CYRIB/UBASH3B/NCK1/CD1D/F11R/NLRP3/TGFBR2/PTK2/SOCS6/HAS2/SOCS5/MALT1/CEBPB/PTPN2/YES1/PAWR/SOX12/PTPN11/SCRIB/ZNF703/PELI1/PDCD1LG2/CARD11/YTHDF2/HLA-E",73
"GO:0001823","BP","GO:0001823","mesonephros development","24/1665","104/18888",9.34931614101161e-06,0.000879288103519979,0.000743342062620668,"CRLF1/RARB/ARG2/SMAD7/CALB1/LZTS2/FGF1/SDC1/EPCAM/SOX9/BMP2/SIX1/MYC/SMAD4/OSR1/SLIT2/BMPER/DCHS1/BCL2/SMAD2/MAGED1/NOG/ROBO2/PBX1",24
"GO:1903510","BP","GO:1903510","mucopolysaccharide metabolic process","22/1665","91/18888",9.87719866473324e-06,0.000914189609746977,0.000772847474468601,"ST3GAL1/ST3GAL6/CEMIP/TGFB1/NFKB1/DSE/B4GALT4/CHST3/CHPF/IL1B/CHST7/CHST9/ANGPT1/B3GNT7/CHST14/HAS2/CHST11/HPSE/B3GNT3/EXT1/HYAL3/CHSY3",22
"GO:0043542","BP","GO:0043542","endothelial cell migration","48/1665","286/18888",1.04827000772603e-05,0.000955072252351641,0.000807409283911351,"PRSS3/SNAI2/HDAC9/HDAC7/PTGS2/EDN1/MEF2C/PXN/SH3BP1/TGFB1/PIK3CG/PTN/HDAC5/LPXN/ADTRP/SASH1/SEMA5A/FGF1/WNT5A/PIK3R3/NRP2/GIPC1/AMOT/STAT5A/RHOJ/KDR/DLL4/ROCK2/ETS1/GLUL/SLIT2/PLK2/NOTCH1/ADAM17/ANGPT1/STC1/FSTL1/ADAMTS9/BMPER/EFNA1/PTK2/ROBO1/PIK3CD/PTPRM/CCBE1/NR2F2/ZNF580/TNFSF12",48
"GO:0061448","BP","GO:0061448","connective tissue development","48/1665","288/18888",1.26805220505271e-05,0.00113375946679519,0.000958469808916384,"SNAI2/COL11A1/RASAL2/RARB/EDN1/MEF2C/NFATC2/ZNF516/SMAD7/FGF9/TGFB1/SOX6/WNT5B/PPARD/WNT5A/EFEMP1/PRRX1/ERRFI1/KLF7/MSX2/EGR1/SOX9/BMP2/THRA/FOXA1/LARGE1/SOX5/MBOAT2/OSR1/NOTCH1/ADAMTS12/STC1/NPR2/IL6R/TGFBR2/ZNF219/SERPINB7/SHOX2/PDGFD/CHST11/SH3PXD2B/MEX3C/PTPN11/EXT1/NOG/HYAL3/COL27A1/ARID5A",48
"GO:0060039","BP","GO:0060039","pericardium development","9/1665","19/18888",1.28328116632623e-05,0.00113375946679519,0.000958469808916384,"WNT5A/SOS1/BMP2/FLRT3/DLL4/NOTCH1/TBX20/HEG1/SMAD2",9
"GO:0110053","BP","GO:0110053","regulation of actin filament organization","46/1665","273/18888",1.43048282596695e-05,0.00124494706839004,0.00105246678303271,"TENM1/TMSB10/CAPG/ARHGEF5/CYFIP2/CTNNA2/ROCK1/PFN2/PXN/SLC9A1/SH3BP1/CORO2B/ARHGEF18/PIK3R2/TESK1/CSF3/ARPC3/SEMA5A/RGS4/WASHC3/NCKAP1L/HIP1R/WASF3/ROCK2/FHOD3/WASHC4/SPTBN5/TPM1/SLIT2/ARHGAP18/C9orf72/ADD3/CYRIB/NCK1/RHPN1/TMSB15B/F11R/SHANK1/CDC42EP5/PRKCE/PTGER4/SYNPO/HCLS1/KIRREL1/TWF2/ASAP3",46
"GO:0010632","BP","GO:0010632","regulation of epithelial cell migration","49/1665","298/18888",1.50126677502029e-05,0.0012873362595799,0.0010883022147709,"HDAC9/HDAC7/PFN2/PTGS2/EDN1/MEF2C/SH3BP1/MMP9/CTSH/TGFB1/PIK3CG/PTN/HDAC5/CORO1C/SASH1/SEMA5A/FGF1/WNT5A/NRP2/SOX9/STAT5A/RHOJ/KDR/DLL4/ROCK2/ETS1/GLUL/DUSP10/SLIT2/PLK2/NOTCH1/ADAM17/PTPRR/ANGPT1/STC1/TGFBR2/ADAMTS9/BMPER/MAPRE2/EFNA1/PTK2/HAS2/PRKCE/PIK3CD/PTPRM/CCBE1/NR2F2/ZNF580/EPPK1",49
"GO:0050767","BP","GO:0050767","regulation of neurogenesis","60/1665","393/18888",1.86407062341482e-05,0.00157527475436693,0.00133172276574395,"KDM1A/TMEM98/RUFY3/RNF10/PRKCH/VCAN/KDM4A/PLXNA2/MAP2/TGFB1/PTN/PTPRZ1/CAPRIN2/SEMA5A/DBN1/WNT5A/CXCR4/BHLHE41/OBSL1/MYRF/IL1B/BMP2/NR1D1/FEZF1/DLL4/FGF13/EPHB2/LRP4/EPHA7/APPL2/SKIL/LEF1/MBD1/CRABP2/DUSP10/SLIT2/NOTCH1/TENM4/DISC1/RYK/GPER1/SHOX2/IL1RAPL1/ROBO1/MAP6/DSCAM/FBXW8/SLITRK1/CDH4/ANXA2/NOG/ROBO2/PPP1CC/NAP1L1/SHTN1/RELN/YTHDF2/L1CAM/TWF2/NFATC4",60
"GO:0001503","BP","GO:0001503","ossification","66/1665","446/18888",2.02619571060099e-05,0.00168782102693063,0.00142686834778112,"SNAI2/VCAN/GPM6B/COL11A1/HDAC7/CBFB/ATP2B1/PTGS2/GLI2/MEF2C/GSK3B/RASSF2/JAG1/SMAD7/CHRDL1/FGF9/CDK6/PTN/ATP6V0A4/FBXL15/DKK1/GIT1/AREG/CYP27B1/WNT5A/MSX2/SRGN/SOX9/BMP2/THRA/LRP3/LRP4/OSTF1/TFAP2A/DNAJC13/NAB1/BMP2K/LEF1/CDH11/SMAD4/OSR1/SNRNP200/SCUBE3/IGFBP3/NOTCH1/CRIM1/ADAMTS12/STC1/NPR2/IL6R/DCHS1/TPM4/SHOX2/PTK2/JUNB/PTGER4/BCL2/CEBPB/PTPN11/EXT1/NOG/ZBTB40/PBX1/IFITM1/RORB/RDH14",66
"GO:0010810","BP","GO:0010810","regulation of cell-substrate adhesion","39/1665","221/18888",2.15027533238535e-05,0.00176595147368155,0.0014929191077184,"EPHA3/GPM6B/NEXMIF/ROCK1/ST6GAL1/CAMSAP3/GSK3B/SLC9A1/ITGA6/CCDC80/FERMT1/JAG1/CORO2B/CDK6/SERPINE1/AGR2/TESK1/SPOCK2/CORO1C/GCNT2/NEDD9/ONECUT2/PLAU/KDR/ACTN4/ROCK2/DDR1/COL8A1/NOTCH1/SPOCK1/UTRN/ABI3BP/DISC1/PTK2/PLEKHA2/HAS2/PRKCE/BCL2/PEAK1",39
"GO:0003205","BP","GO:0003205","cardiac chamber development","32/1665","168/18888",2.44467073189049e-05,0.00195272260789773,0.0016508137040293,"ADAMTS6/COL11A1/MEF2C/KCNK2/FKBP1A/DSP/JAG1/SMAD7/PPP1R13L/TGFB1/ENG/PTK7/WNT5A/SOS1/NRP2/MSX2/BMP2/DLL4/TPM1/GATA6/SMAD4/SLIT2/NOTCH1/TGFBR2/TBX20/SHOX2/ROBO1/HEG1/NOG/SCN5A/ROBO2/RYR2",32
"GO:0007156","BP","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","32/1665","168/18888",2.44467073189049e-05,0.00195272260789773,0.0016508137040293,"CDH10/DSG2/SDK2/CELSR1/IGSF9/CADM4/PTK7/PCDHB2/PCDHB3/PCDHB5/PCDHB6/PCDH17/AMIGO2/CDH11/IGSF11/KIRREL3/MPZL2/ROBO4/FAT3/DCHS1/PCDH7/ROBO1/DSCAM/PTPRM/CDH4/PCDH9/ROBO2/PCDH18/L1CAM/PCDHA11/PCDHA12/CLSTN3",32
"GO:0007173","BP","GO:0007173","epidermal growth factor receptor signaling pathway","24/1665","110/18888",2.54084938904395e-05,0.00200212064696153,0.00169257435119386,"WDR54/RAB7A/MMP9/TGFB1/AGR2/AREG/CBL/CBLB/EFEMP1/SOS1/ERRFI1/SOX9/HIP1R/MVB12A/FAM83A/SHC3/ADAM17/NPR2/GPER1/FAM83B/PTK2/SOCS5/PTPN2/PTPN11",24
"GO:0045785","BP","GO:0045785","positive regulation of cell adhesion","70/1665","485/18888",2.65562819184847e-05,0.00206466239822246,0.00174544657156862,"FYN/ROCK1/CBFB/GLI2/SMARCA2/GSK3B/CYLD/EFNB1/LAMB1/ITGA6/CCDC80/FERMT1/SMAD7/LAMA1/CSK/IL7/EBI3/PIK3R2/CDK6/AGR2/TESK1/SPOCK2/IL23A/GCNT2/NEDD9/VNN1/WNT5A/IL1A/NCKAP1L/IL1B/KDR/PODXL/FOXA1/AFDN/EMILIN2/DUSP26/ETS1/ADAM19/TESPA1/HLX/LEF1/TPM1/BRD4/DUSP10/ITPKB/COL8A1/ANK3/ADAM8/UTRN/CYRIB/ABI3BP/ANGPT1/NCK1/CD1D/F11R/NLRP3/DISC1/TGFBR2/PLEKHA2/HAS2/PRKCE/SOCS5/MALT1/YES1/SOX12/PTPN11/PDCD1LG2/CARD11/HLA-E/TMEM102",70
"GO:0048638","BP","GO:0048638","regulation of developmental growth","52/1665","330/18888",2.78203876360092e-05,0.0021344826355996,0.00180447195705583,"RUFY3/NEDD4L/CTDP1/SYT1/MAP2/EDN1/RIMS1/MEF2C/KCNK2/GSK3B/SMAD7/FGF9/SYT17/IL7/AGR2/PPARD/SEMA5A/WWC1/WNT5A/HTRA2/RGS4/BCL11A/SOCS2/CXCR4/CDKN1A/STAT5A/SIX1/FGF13/ATP8A2/EPHA7/HLX/DUSP6/AFG3L2/GATA6/CRABP2/DUSP10/NOTCH1/LATS2/DISC1/RYK/TBX20/AR/DSCAM/BCL2/CDH4/PLCB1/NOG/SHTN1/ITSN2/L1CAM/TWF2/EPPK1",52
"GO:0030203","BP","GO:0030203","glycosaminoglycan metabolic process","24/1665","111/18888",2.97455109154485e-05,0.00225254641750624,0.00190428199066364,"ST3GAL1/ST3GAL6/CEMIP/TGFB1/NFKB1/DSE/GCNT2/B4GALT4/CHST3/CHPF/IL1B/LYG1/CHST7/CHST9/ANGPT1/B3GNT7/CHST14/HAS2/CHST11/HPSE/B3GNT3/EXT1/HYAL3/CHSY3",24
"GO:0003208","BP","GO:0003208","cardiac ventricle morphogenesis","18/1665","71/18888",3.13620861293752e-05,0.00234451697718445,0.00198203305457307,"COL11A1/MEF2C/FKBP1A/DSP/JAG1/SMAD7/PPP1R13L/TGFB1/ENG/DLL4/TPM1/SMAD4/NOTCH1/TGFBR2/TBX20/HEG1/NOG/RYR2",18
"GO:0030198","BP","GO:0030198","extracellular matrix organization","52/1665","332/18888",3.28498993774987e-05,0.00242465523126829,0.00204978119633347,"TLL1/GPM6B/ADAMTS6/COL11A1/COL17A1/TIE1/LAMB1/CCDC80/MMP9/FERMT1/LAMA1/TGFB1/ENG/SPOCK2/COL12A1/ADTRP/MPV17/LOXL3/LRP1/SOX9/BMP2/LOXL1/PXDN/LARGE1/IER3IP1/LCP1/DDR1/SMAD4/COL8A1/NOTCH1/MMP3/ADAMTS12/ADAM8/ABI3BP/FGFR4/CTSS/ADAMTS9/PTX3/TNFRSF11B/MMP10/ANTXR1/HAS2/SH3PXD2B/EXT1/ANXA2/GAS6/THSD4/COL4A5/MMP1/COL27A1/COL4A6/PRSS1",52
"GO:0003229","BP","GO:0003229","ventricular cardiac muscle tissue development","16/1665","59/18888",3.49439135270427e-05,0.00254697449720233,0.00215318877693607,"DSG2/COL11A1/FKBP1A/DSP/SMAD7/PPP1R13L/TGFB1/ENG/DLL4/TPM1/SMAD4/NOTCH1/ADAMTS9/HEG1/NOG/RYR2",16
"GO:0043062","BP","GO:0043062","extracellular structure organization","52/1665","333/18888",3.56663740798087e-05,0.00256753860814031,0.00217057348688427,"TLL1/GPM6B/ADAMTS6/COL11A1/COL17A1/TIE1/LAMB1/CCDC80/MMP9/FERMT1/LAMA1/TGFB1/ENG/SPOCK2/COL12A1/ADTRP/MPV17/LOXL3/LRP1/SOX9/BMP2/LOXL1/PXDN/LARGE1/IER3IP1/LCP1/DDR1/SMAD4/COL8A1/NOTCH1/MMP3/ADAMTS12/ADAM8/ABI3BP/FGFR4/CTSS/ADAMTS9/PTX3/TNFRSF11B/MMP10/ANTXR1/HAS2/SH3PXD2B/EXT1/ANXA2/GAS6/THSD4/COL4A5/MMP1/COL27A1/COL4A6/PRSS1",52
"GO:0045229","BP","GO:0045229","external encapsulating structure organization","52/1665","334/18888",3.87030937224612e-05,0.00275216755482526,0.00232665709759032,"TLL1/GPM6B/ADAMTS6/COL11A1/COL17A1/TIE1/LAMB1/CCDC80/MMP9/FERMT1/LAMA1/TGFB1/ENG/SPOCK2/COL12A1/ADTRP/MPV17/LOXL3/LRP1/SOX9/BMP2/LOXL1/PXDN/LARGE1/IER3IP1/LCP1/DDR1/SMAD4/COL8A1/NOTCH1/MMP3/ADAMTS12/ADAM8/ABI3BP/FGFR4/CTSS/ADAMTS9/PTX3/TNFRSF11B/MMP10/ANTXR1/HAS2/SH3PXD2B/EXT1/ANXA2/GAS6/THSD4/COL4A5/MMP1/COL27A1/COL4A6/PRSS1",52
"GO:0035265","BP","GO:0035265","organ growth","33/1665","180/18888",4.11481991102516e-05,0.00289078492785394,0.00244384294779084,"CTDP1/RARB/EDN1/MEF2C/KCNK2/FGF9/IL7/WWC1/RGS4/MSX2/SOX9/IER3IP1/HLX/DUSP6/GATA6/MEIS1/NOTCH1/TENM4/LATS2/STC1/NPR2/PDLIM5/TGFBR2/TBX20/AR/BCL2/HEG1/SMAD2/PTPN11/EXT1/FES/NOG/COL27A1",33
"GO:0010001","BP","GO:0010001","glial cell differentiation","43/1665","260/18888",4.23867143424478e-05,0.00294234442060492,0.00248743086799102,"TMEM98/CNTN1/VCAN/GPM6B/KDM4A/PHGDH/CSK/NDRG1/TGFB1/CDK6/PTN/PTPRZ1/CNTNAP1/SOX6/EIF2B1/SOS1/B4GALT6/CXCR4/LRP1/PLP1/MYRF/SOX9/IL1B/BMP2/NR1D1/WASF3/LARGE1/TLR4/NAB1/FGF5/LEF1/MBD1/DUSP10/GPR17/NOTCH1/TENM4/MYD88/NRROS/PTPN11/NOG/DNER/RELN/PPP3R1",43
"GO:0036302","BP","GO:0036302","atrioventricular canal development","7/1665","13/18888",4.35000582879781e-05,0.0029841039985553,0.00252273403049661,"ENG/BMP2/GATA6/SMAD4/TBX20/HAS2/PTPN11",7
